"event","action","type","label","date","hour"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","05:06:46"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","05:06:49"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-23","05:06:50"
"onClick","Close","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-23","05:08:12"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-23","05:08:14"
"onClick","Close","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-23","05:08:16"
"onClick","Open","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-23","05:08:24"
"onClick","Close","mp4","Cholestatic Pluritis in Primary Biliary Cholangitis  Burden of Disease","2023-03-23","05:09:04"
"onClick","Navigate","Navigation","Navigation: /second-level/Chronic Hepatitis B","2023-03-23","05:09:05"
"onClick","Open","mp4","Chronic Hepatitis B Functional Cure","2023-03-23","05:09:06"
"onClick","Close","mp4","Chronic Hepatitis B Functional Cure","2023-03-23","05:10:59"
"onClick","Navigate","Navigation","Navigation: /top-level","2023-03-23","05:11:02"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-23","05:27:43"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","05:27:45"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-23","05:27:47"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-23","05:27:48"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-23","05:27:51"
"onClick","Navigate","Navigation","Category: Cholestatic Pruritis","2023-03-23","05:27:53"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","05:27:54"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","05:27:58"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-23","06:01:36"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-23","06:01:38"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-23","06:01:39"
"onClick","Close","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-23","06:01:41"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-23","06:01:45"
"onClick","Navigate","Navigation","Navigation: /second-level/GSK in Hepatology","2023-03-23","06:01:47"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","06:01:48"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-23","06:02:06"
"onClick","Navigate","Navigation","Category: GSK in Hepatology","2023-03-23","06:04:37"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","06:04:40"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-23","06:04:47"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-23","06:04:48"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-23","06:04:54"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-23","06:04:57"
"onClick","Open","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","06:05:24"
"onClick","Close","web","Cholestatic Pruritis in Primary Biliary Cholangitis Interactive infographic","2023-03-23","06:05:39"
"onClick","Navigate","Navigation","Navigation: /second-level/GSK in Hepatology","2023-03-23","06:05:46"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","06:05:47"
"onClick","Navigate","Navigation","Navigation: /second-level/Chronic Hepatitis B","2023-03-23","06:06:03"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-23","06:06:09"
"onClick","Open","mp4","Chronic Hepatitis B Functional Cure","2023-03-23","06:06:12"
"onClick","Navigate","Navigation","Navigation: /second-level/GSK in Hepatology","2023-03-23","06:11:59"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","06:12:01"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-23","06:12:07"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-23","06:12:09"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-23","06:12:10"
"onClick","Navigate","Navigation","Navigation: /second-level/GSK in Hepatology","2023-03-23","06:12:13"
"onClick","Open","web","Hepatology pipeline clinical trial finder","2023-03-23","06:12:14"
"onClick","Close","web","Hepatology pipeline clinical trial finder","2023-03-23","06:12:18"
"onClick","Open","mov","History of GSK in  Hepatology","2023-03-23","06:12:20"
"onClick","Close","mov","History of GSK in  Hepatology","2023-03-23","06:12:25"
"onClick","Navigate","Navigation","Navigation: /second-level/Cholestatic Pruritis","2023-03-23","06:12:27"
"onClick","Open","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-23","06:12:31"
"onClick","Close","mp4","Role of Ileal Bile Acid Transporter in Disease","2023-03-23","06:12:57"
"onClick","Navigate","Navigation","Navigation: /second-level/Chronic Hepatitis B","2023-03-23","06:12:59"
"onClick","Open","mp4","Chronic Hepatitis B Functional Cure","2023-03-23","06:13:01"
